employee_id,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,satisfaction_level,last_evaluation
1426,2,153,3,0,1,0,product_mng,medium,0.43,0.54
1430,4,264,6,0,1,0,product_mng,medium,0.9,0.98
1438,5,223,5,1,1,0,product_mng,medium,0.76,0.86
11426,2,135,3,0,1,0,product_mng,medium,0.43,0.5
1443,2,277,3,0,1,0,IT,medium,0.74,0.99
1450,5,275,4,0,1,0,product_mng,medium,0.09,0.77
22316,2,149,3,0,1,0,product_mng,high,,
1454,7,295,4,0,1,0,product_mng,low,0.09,0.87
1463,6,277,4,0,1,0,product_mng,medium,0.11,0.97
1466,7,306,4,0,1,0,product_mng,medium,0.11,0.79
1467,6,295,4,0,1,0,product_mng,medium,0.1,0.83
1473,2,137,3,0,1,0,marketing,medium,0.4,0.54
13107,2,157,3,0,1,0,sales,low,0.43,0.56
1489,2,142,3,0,1,0,accounting,low,0.39,0.56
1490,2,140,3,0,1,0,support,low,0.45,0.54
1493,2,151,3,0,1,0,technical,low,0.38,0.49
1506,4,139,3,0,1,1,management,low,0.79,0.59
1508,4,249,6,0,1,0,marketing,low,0.84,0.85
15896,6,291,4,0,1,0,marketing,low,0.11,0.77
1530,6,305,4,0,1,0,marketing,low,0.11,0.87
1537,5,232,3,0,1,0,sales,low,0.17,0.84
1543,2,132,3,0,1,0,sales,low,0.44,0.45
1548,2,130,3,0,1,0,sales,low,0.37,0.57
1558,6,291,4,0,1,0,sales,low,0.1,0.79
1571,2,130,3,0,1,0,sales,low,0.4,0.5
17231,5,246,5,0,1,0,sales,low,0.89,1.0
1581,2,143,3,0,1,0,sales,low,,
1590,2,129,3,0,1,0,sales,low,0.46,0.55
1595,6,255,4,0,1,0,sales,low,0.09,0.83
1605,2,155,3,0,1,0,sales,low,0.37,0.51
1610,6,265,4,0,1,0,sales,low,0.1,0.77
1622,6,279,4,0,1,0,sales,low,0.1,0.84
1639,6,284,4,0,1,0,sales,low,0.11,0.97
1641,5,221,6,0,1,0,sales,medium,0.9,1.0
1642,2,154,3,0,1,0,sales,medium,0.38,0.52
1651,2,147,3,0,1,0,sales,medium,0.36,0.52
1658,2,150,3,0,1,0,sales,medium,0.42,0.46
1659,7,267,4,0,1,0,sales,medium,0.09,0.94
1665,2,158,3,0,1,0,sales,medium,0.43,0.52
1669,7,224,5,0,1,0,accounting,medium,0.24,0.46
1674,4,257,5,0,1,0,accounting,medium,0.91,1.0
17376,2,148,3,0,1,0,accounting,medium,,
1679,3,177,4,0,1,0,hr,medium,0.71,0.87
19808,2,155,3,0,1,0,hr,medium,0.4,0.49
1691,2,144,3,0,1,0,hr,medium,0.43,0.47
1698,6,289,4,0,1,0,hr,high,0.09,0.85
1705,2,160,3,0,1,0,technical,low,0.43,0.52
22928,4,258,5,0,1,0,technical,medium,0.9,0.96
1713,5,234,5,0,1,0,technical,medium,0.84,1.0
1715,2,137,3,0,1,0,technical,medium,0.37,0.48
23766,5,263,2,0,1,0,technical,medium,0.86,0.68
1730,6,251,4,0,1,0,technical,low,0.11,0.84
1733,2,133,3,0,1,0,technical,low,0.37,0.57
23901,2,132,3,0,1,0,technical,low,0.4,0.46
1739,4,158,4,1,1,0,technical,low,,
1741,2,135,3,0,1,0,technical,low,0.4,0.46
1742,4,216,6,0,1,0,technical,low,0.75,1.0
1743,6,300,5,1,1,0,support,low,0.11,0.84
24128,2,138,3,0,1,0,support,low,0.46,0.49
1771,6,260,4,0,1,0,support,low,0.11,0.92
25406,2,132,3,0,1,0,support,low,0.38,0.49
1786,3,183,5,0,1,0,support,low,0.7,0.89
1789,6,250,4,0,1,0,support,low,0.09,0.82
1802,2,151,3,0,1,0,support,low,0.37,0.45
1819,6,292,4,0,1,0,support,low,0.1,0.83
1822,2,140,3,0,1,0,support,low,0.38,0.57
26438,5,221,5,0,1,0,support,low,0.9,1.0
1828,2,138,3,0,1,0,support,low,0.44,0.51
1833,2,132,3,0,1,0,technical,low,0.36,0.5
1842,7,133,5,0,1,0,technical,low,0.31,0.84
1843,6,283,4,1,1,0,technical,low,0.1,0.84
1847,2,129,3,0,1,0,management,low,,
1849,4,249,5,0,1,0,IT,low,0.74,1.0
1852,5,257,5,0,1,0,IT,low,0.73,0.87
1863,6,245,4,0,1,0,IT,low,0.09,0.96
1864,2,155,3,0,1,0,IT,low,0.45,0.53
1865,6,256,4,0,1,0,IT,low,0.11,0.8
26632,2,152,3,0,1,0,product_mng,low,0.37,0.47
26925,4,267,5,0,1,0,product_mng,low,0.84,0.99
7596,2,151,3,0,1,0,product_mng,low,0.41,0.46
1894,4,239,5,0,1,0,product_mng,low,0.76,0.92
1897,6,306,4,0,1,0,IT,low,0.11,0.87
1898,4,263,5,1,1,0,marketing,low,0.84,0.88
1901,2,147,3,0,1,0,marketing,low,0.39,0.5
1902,6,278,4,0,1,0,marketing,low,0.11,0.91
28174,2,154,3,0,1,0,marketing,low,0.45,0.56
1912,2,143,3,0,1,0,marketing,low,0.37,0.52
1915,2,155,3,0,1,0,marketing,low,0.4,0.52
1920,2,160,3,0,1,0,sales,low,0.39,0.48
1924,6,304,4,0,1,0,accounting,low,0.11,0.8
1931,5,240,5,0,1,0,support,low,0.83,1.0
1936,6,305,4,0,1,0,technical,low,0.11,0.92
1938,2,136,3,0,1,0,management,low,0.39,0.5
1948,2,132,3,0,1,0,marketing,low,0.45,0.45
1953,7,301,4,0,1,0,marketing,low,0.1,0.95
28695,5,243,6,0,1,0,marketing,low,0.9,0.98
1964,2,147,3,0,1,0,sales,low,0.45,0.51
1969,5,239,5,0,1,0,sales,low,0.79,0.89
1970,5,260,5,0,1,0,sales,low,0.9,0.99
1980,7,296,4,0,1,0,sales,low,0.11,0.84
1984,2,129,3,0,1,0,sales,low,0.43,0.55
31262,5,132,5,0,1,0,sales,low,0.31,0.54
32334,2,135,5,0,1,0,sales,low,0.32,0.5
1999,2,158,3,0,1,0,sales,low,0.45,0.57
2009,4,259,5,0,1,0,sales,low,0.81,0.99
2016,2,160,3,0,1,1,sales,low,0.41,0.46
2021,7,278,4,0,1,0,sales,low,0.11,0.78
2025,6,284,4,0,1,0,sales,low,0.1,0.88
2026,2,274,4,0,1,0,sales,low,0.7,0.53
32923,4,164,2,0,1,0,sales,low,,
2078,2,148,3,0,1,0,sales,low,0.41,0.48
33098,2,140,3,0,1,0,sales,medium,0.38,0.5
2084,2,127,3,0,1,0,sales,medium,0.37,0.51
2092,6,308,5,0,1,0,sales,medium,0.11,0.85
91566,2,146,3,0,1,0,sales,medium,0.4,0.47
2110,6,261,4,0,1,0,accounting,medium,0.1,0.84
2111,5,257,5,0,1,0,accounting,medium,0.89,0.99
2118,6,285,4,0,1,0,accounting,medium,0.11,0.8
2125,2,141,3,0,1,0,hr,medium,0.36,0.55
2126,2,127,3,0,1,0,hr,medium,0.4,0.46
2128,6,297,4,0,1,0,hr,medium,0.09,0.85
2135,2,143,3,0,1,0,hr,medium,0.4,0.46
2152,2,152,3,0,1,0,technical,medium,0.37,0.55
2156,2,156,3,0,1,0,technical,high,0.44,0.51
2157,7,283,5,0,1,0,technical,low,0.09,0.8
2160,4,226,6,1,1,0,technical,medium,0.92,
2169,4,232,5,0,1,0,technical,medium,0.74,0.91
2173,6,249,4,0,1,0,technical,medium,0.09,0.82
2174,4,275,5,0,1,0,technical,medium,0.89,0.95
2178,6,304,4,0,1,0,technical,low,0.09,0.8
2181,7,278,3,0,1,0,technical,low,0.27,0.54
2187,6,287,4,0,1,0,technical,low,0.1,0.91
2189,7,285,4,0,1,0,technical,low,0.1,0.89
2191,5,226,6,0,1,0,support,low,0.77,0.94
2193,5,259,5,0,1,0,support,low,0.9,0.82
2197,2,135,3,0,1,0,support,low,0.39,0.5
2200,5,219,5,0,1,0,support,low,0.76,1.0
2204,6,256,4,0,1,0,support,low,0.1,0.93
35563,5,254,6,0,1,0,support,low,0.87,0.9
2212,2,153,3,0,1,0,support,low,0.38,0.5
35940,5,228,5,0,1,0,support,low,0.77,0.99
2222,4,228,5,0,1,0,support,low,0.78,0.87
36647,2,128,3,0,1,0,support,low,0.44,0.5
2234,2,153,3,0,1,0,support,low,0.38,0.52
2241,2,156,3,0,1,0,technical,low,0.43,0.46
2248,4,294,3,0,1,0,technical,low,0.39,0.5
37364,5,219,5,0,1,0,technical,low,0.88,1.0
2253,2,153,3,0,1,0,management,low,0.45,0.46
2269,2,151,3,0,1,0,IT,low,0.4,0.53
2277,2,155,3,0,1,0,IT,low,0.36,0.51
2279,2,158,3,0,1,0,IT,low,0.36,0.48
2283,5,245,5,0,1,0,IT,low,0.9,0.98
38260,2,131,3,0,1,0,IT,low,0.43,0.53
2299,5,225,5,0,1,0,product_mng,low,0.89,0.87
2300,6,286,4,0,1,0,product_mng,low,0.1,0.84
38901,2,135,3,0,1,0,product_mng,low,0.37,0.5
2311,2,153,3,0,1,0,product_mng,low,0.37,0.51
2314,5,252,5,0,1,0,IT,low,0.87,0.9
2318,2,149,3,0,1,0,accounting,low,0.4,0.56
2340,4,258,5,0,1,0,accounting,low,0.9,0.97
2346,2,158,3,0,1,0,hr,low,0.37,0.46
2362,2,149,3,0,1,0,hr,low,0.44,0.54
2363,5,236,5,0,1,0,hr,low,0.85,0.95
40347,5,239,6,0,1,0,marketing,low,0.78,0.98
2395,2,159,3,0,1,0,marketing,low,0.42,0.47
2402,5,255,6,0,1,0,sales,low,0.92,0.99
2405,6,244,4,0,1,0,accounting,low,0.11,0.83
2415,2,134,3,0,1,0,support,low,0.42,0.56
40729,4,270,4,0,1,0,technical,low,0.48,0.57
2434,4,255,5,0,1,0,management,low,0.83,0.85
2444,2,151,3,0,1,0,marketing,low,0.4,0.53
41054,2,135,3,0,1,0,marketing,low,0.43,0.45
41767,2,146,3,0,1,0,marketing,low,0.43,0.53
64871,7,254,4,0,1,0,sales,low,0.1,0.97
2468,7,289,4,0,1,0,sales,low,0.1,0.87
2475,2,156,3,0,1,0,sales,low,0.37,0.46
2476,2,156,3,0,1,0,sales,low,0.38,0.53
97541,2,128,3,0,1,0,sales,low,0.4,0.5
2488,5,275,5,0,1,0,sales,low,0.89,0.86
42255,2,155,3,0,1,0,sales,low,0.45,0.46
98548,2,159,3,0,1,0,sales,low,0.37,0.48
25138,2,148,3,0,1,0,sales,low,0.46,0.49
2514,4,228,5,0,1,0,sales,low,0.87,0.91
2515,6,298,4,0,1,0,sales,low,0.11,0.84
2523,5,261,5,0,1,0,sales,low,0.79,0.87
2561,5,254,6,0,1,0,sales,low,0.79,0.92
2565,7,192,3,0,1,0,sales,low,0.19,0.59
2568,4,248,5,0,1,0,sales,low,0.87,0.98
2571,2,258,5,0,1,0,sales,low,0.6,0.92
2579,2,156,3,0,1,0,sales,medium,0.44,0.45
44247,6,266,4,1,1,0,sales,medium,0.11,0.81
2605,2,156,3,0,1,0,sales,medium,0.42,0.54
2613,5,232,5,1,1,0,accounting,medium,0.88,0.88
45097,6,287,4,0,1,0,accounting,medium,0.11,0.84
2630,2,154,3,0,1,0,accounting,medium,0.46,0.46
2632,5,263,5,0,1,0,hr,medium,0.82,0.97
2634,2,131,3,0,1,0,hr,medium,0.44,0.56
2645,6,260,4,0,1,0,hr,medium,0.11,0.78
45783,2,139,3,0,1,0,hr,medium,0.42,0.5
2658,4,251,5,0,1,0,technical,medium,0.84,0.93
2665,6,286,4,0,1,0,technical,medium,0.11,0.95
2672,2,129,3,0,1,0,technical,high,0.45,0.53
2675,2,156,3,0,1,0,technical,low,0.38,0.56
2677,6,139,6,0,1,0,technical,medium,0.38,0.86
49125,2,127,3,0,1,0,technical,medium,0.44,0.51
2679,6,251,4,0,1,0,technical,medium,0.11,0.84
2684,5,270,5,0,1,0,technical,medium,0.81,0.93
2692,6,296,4,0,1,0,technical,low,0.09,0.96
2693,6,254,4,0,1,0,technical,low,0.11,0.9
2699,5,238,6,0,1,0,technical,low,0.81,0.95
2701,6,267,4,1,1,0,support,low,0.1,0.97
2727,5,229,6,0,1,0,support,low,0.74,0.89
49502,6,254,4,0,1,0,support,low,0.09,0.78
53338,4,233,4,1,1,0,support,low,0.82,0.81
2748,6,268,4,0,1,0,support,low,0.1,0.98
54165,3,301,3,0,1,0,support,low,0.27,0.56
2753,5,267,6,0,1,0,support,low,0.83,0.92
2766,6,289,4,1,1,0,support,low,0.1,0.93
2767,2,144,3,0,1,0,support,low,0.38,0.47
2770,2,148,3,0,1,0,support,low,0.4,0.56
2771,6,306,4,0,1,0,support,low,0.11,0.83
2773,6,292,4,0,1,1,technical,low,0.11,0.79
2777,5,232,5,0,1,0,technical,low,0.82,0.91
2782,2,137,3,0,1,0,technical,low,0.36,0.48
27617,2,128,3,0,1,0,management,low,0.4,0.46
2784,5,231,5,0,1,0,IT,low,0.87,0.84
2786,2,146,3,0,1,0,IT,low,0.41,0.49
55195,6,308,4,1,1,0,IT,low,0.11,0.91
2807,6,253,4,0,1,0,IT,medium,0.1,0.93
2821,2,146,3,0,1,0,IT,medium,0.38,0.51
55937,2,156,3,0,1,0,product_mng,medium,0.39,0.55
2831,2,147,3,0,1,0,product_mng,medium,0.4,0.52
56819,2,136,3,0,1,0,product_mng,medium,0.45,0.48
56864,5,249,5,0,1,0,product_mng,medium,0.74,0.84
2841,2,151,3,0,1,0,IT,medium,0.45,0.55
2847,3,278,4,0,1,0,RandD,medium,0.12,1.0
57006,7,250,5,0,1,0,RandD,medium,0.1,0.77
2880,2,127,3,0,1,0,RandD,medium,0.37,0.55
2881,5,255,5,0,1,0,RandD,medium,0.89,0.87
2882,2,135,3,0,1,0,RandD,medium,0.45,0.47
57209,2,149,3,0,1,0,marketing,high,0.37,0.46
2896,5,287,4,0,1,0,sales,low,0.11,0.81
2899,2,145,3,0,1,0,accounting,medium,0.41,0.48
2901,6,285,4,0,1,0,support,medium,0.1,0.94
2912,7,305,4,0,1,0,technical,medium,0.1,0.93
2916,7,300,4,0,1,0,management,medium,0.11,0.95
2921,2,139,3,0,1,0,marketing,low,0.4,0.54
2923,2,130,3,0,1,0,marketing,low,0.41,0.49
2924,6,268,4,0,1,0,marketing,low,0.1,0.81
58161,4,245,6,0,1,0,sales,low,0.73,0.86
2932,2,135,3,0,1,0,sales,low,0.43,0.47
2933,2,153,3,0,1,0,sales,low,0.37,0.46
2940,6,276,4,0,1,0,sales,low,0.11,0.94
2944,2,130,3,0,1,0,sales,low,0.4,0.46
2945,2,153,3,1,1,0,sales,low,0.41,0.54
2949,5,244,5,0,1,0,sales,low,0.82,0.84
2972,2,253,3,0,1,0,sales,low,0.61,0.47
58798,7,287,4,0,1,0,sales,low,0.11,0.91
2988,2,131,3,0,1,0,sales,low,0.37,0.45
2990,2,135,3,0,1,0,sales,low,0.41,0.52
58972,2,157,3,0,1,0,sales,low,0.37,0.52
59323,5,262,6,0,1,0,sales,low,0.88,0.99
3010,6,266,4,0,1,0,sales,low,0.1,0.85
3011,2,148,3,0,1,0,sales,low,0.44,0.48
3013,2,140,3,0,1,0,sales,low,0.38,0.57
59644,7,302,4,0,1,0,sales,low,0.11,0.85
3022,6,271,4,0,1,0,sales,low,0.09,0.98
3024,2,145,3,0,1,0,sales,medium,0.45,0.52
59872,6,290,4,0,1,0,accounting,medium,0.1,0.81
3042,2,151,3,0,1,0,accounting,medium,0.45,0.47
3047,5,266,5,0,1,0,accounting,medium,0.77,0.87
3048,2,140,3,0,1,0,hr,medium,0.44,0.51
3064,2,142,3,0,1,0,hr,medium,0.39,0.5
3069,6,246,4,0,1,0,hr,medium,0.1,0.91
3091,7,308,5,0,1,0,hr,medium,0.09,0.89
3093,2,141,3,0,1,0,technical,medium,0.37,0.47
60841,5,232,5,0,1,0,technical,medium,0.9,1.0
3096,2,143,3,0,1,0,technical,medium,0.41,0.56
3100,2,155,3,0,1,0,technical,medium,0.37,0.52
3101,6,278,4,0,1,0,technical,high,0.1,0.86
61868,4,253,5,0,1,0,technical,low,0.81,1.0
3120,6,282,4,0,1,0,technical,medium,0.11,0.8
3122,7,264,4,0,1,0,technical,medium,0.11,0.84
3132,2,149,3,0,1,0,technical,medium,0.4,0.46
3137,6,304,5,0,1,0,technical,medium,0.09,0.8
64897,3,219,6,0,1,0,technical,low,0.48,0.93
3150,4,262,6,0,1,0,support,low,,0.91
3159,2,135,3,0,1,0,support,low,0.43,0.57
3160,6,219,5,0,1,0,support,low,0.33,0.88
3165,2,136,3,0,1,0,support,low,0.41,0.57
65495,2,154,3,0,1,0,support,low,0.41,0.55
3179,2,149,3,0,1,0,support,low,0.37,0.54
3185,6,135,5,0,1,0,support,low,0.31,0.62
3191,6,275,4,0,1,0,support,low,0.09,0.91
66022,6,290,4,0,1,0,support,low,0.1,0.87
3195,4,263,5,0,1,0,support,low,0.76,0.9
3204,2,145,3,0,1,0,support,low,0.41,0.54
3205,5,267,5,0,1,0,technical,low,0.72,0.96
66592,2,141,3,1,1,0,technical,low,0.4,0.5
3217,4,235,5,0,1,0,technical,low,0.91,0.87
68266,6,258,4,0,1,0,management,low,0.1,0.83
3233,2,131,3,0,1,0,IT,low,0.4,0.56
3234,5,243,5,0,1,0,IT,low,0.82,0.86
3238,6,266,4,0,1,0,IT,low,0.1,0.82
3240,2,142,3,0,1,0,IT,low,0.37,0.45
68351,2,135,3,0,1,0,IT,low,0.36,0.51
3245,2,141,3,0,1,0,product_mng,medium,0.39,0.48
3246,2,142,3,0,1,0,product_mng,medium,0.36,0.57
68379,5,254,5,0,1,0,product_mng,medium,0.86,0.84
3249,5,262,5,0,1,0,product_mng,medium,0.73,0.99
3250,4,296,2,0,1,0,IT,medium,0.56,
69294,2,158,3,0,1,0,accounting,medium,0.44,0.56
3259,4,238,2,0,1,0,accounting,medium,0.31,0.56
3260,4,231,5,0,1,0,hr,medium,0.77,0.93
3262,2,156,3,0,1,0,hr,medium,0.44,0.45
40488,2,145,3,0,1,0,hr,medium,0.38,0.46
3288,2,144,3,0,1,0,marketing,medium,0.45,0.48
3289,2,159,3,0,1,0,sales,medium,0.38,0.51
3297,2,156,3,0,1,0,accounting,high,0.36,0.48
3305,5,256,5,0,1,0,support,low,0.75,0.9
3306,6,298,4,0,1,0,technical,medium,0.1,0.93
3309,6,247,4,0,1,0,management,medium,0.1,0.97
3311,2,157,3,0,1,0,marketing,medium,0.45,0.5
48921,2,154,3,1,1,0,marketing,medium,0.42,0.57
99746,4,253,5,0,1,0,marketing,low,0.78,1.0
73366,2,148,3,0,1,0,sales,low,0.45,0.55
73530,4,261,5,0,1,0,sales,low,0.84,1.0
3332,6,282,4,0,1,0,sales,low,0.11,0.93
3344,2,133,3,0,1,0,sales,low,0.42,0.56
3347,2,128,3,0,1,0,sales,low,0.45,0.46
3350,2,139,3,0,1,0,sales,low,0.46,0.57
3354,6,293,5,0,1,0,sales,low,0.09,0.79
3369,4,265,6,0,1,0,sales,low,0.87,0.83
3381,6,250,4,0,1,0,sales,low,0.1,0.87
3396,5,251,6,0,1,0,sales,low,0.91,1.0
74142,4,246,5,0,1,0,sales,low,0.76,0.92
3405,5,275,5,0,1,0,sales,low,,1.0
3406,5,240,5,0,1,0,sales,low,0.92,0.93
74582,5,245,5,0,1,0,sales,low,0.76,0.87
3422,4,254,4,0,1,0,sales,low,0.47,0.5
3425,5,241,5,0,1,0,sales,low,0.73,0.99
75664,6,257,4,0,1,0,sales,low,0.09,0.94
3461,4,246,5,0,1,0,sales,low,0.91,0.92
76341,4,233,5,0,1,0,sales,low,0.82,0.98
3465,6,218,4,0,1,0,accounting,low,0.28,0.45
77736,4,262,6,0,1,0,accounting,medium,0.84,0.99
3482,2,138,3,0,1,0,accounting,medium,0.45,0.53
3484,2,142,3,0,1,0,hr,medium,0.45,0.54
3502,5,233,5,0,1,0,hr,medium,0.91,0.97
78076,2,155,3,0,1,0,hr,medium,0.42,0.48
3506,4,229,6,0,1,0,hr,medium,0.82,1.0
3517,6,264,4,0,1,0,technical,medium,0.11,0.9
3518,3,199,4,0,1,0,technical,medium,0.42,0.53
3521,4,223,5,0,1,0,technical,medium,0.82,0.85
3530,6,268,4,0,1,0,technical,medium,0.09,0.96
3531,6,287,4,0,1,0,technical,medium,0.1,0.94
3535,5,257,5,0,1,0,technical,medium,0.86,1.0
3536,2,143,3,0,1,0,technical,high,0.4,0.46
3546,2,130,3,0,1,0,technical,low,0.45,0.46
3548,2,136,3,0,1,0,technical,medium,0.42,0.51
3550,4,261,5,0,1,0,technical,medium,0.74,0.92
78130,3,180,4,0,1,0,technical,medium,,0.6
3569,2,126,3,0,1,0,support,medium,0.37,0.45
3573,2,127,3,1,1,0,support,low,0.41,0.52
3574,5,195,6,0,1,0,support,low,0.89,0.65
3575,2,160,3,0,1,0,support,low,0.41,0.57
3588,2,150,3,0,1,0,support,low,0.44,0.51
3596,4,264,6,0,1,0,support,low,0.87,0.84
3597,6,309,4,0,1,0,support,low,0.1,0.84
3598,2,135,3,0,1,0,support,low,0.41,0.47
12625,6,261,4,0,1,0,support,low,0.11,0.85
79881,2,160,3,0,1,0,support,low,0.43,0.53
3615,4,237,5,0,1,0,support,low,0.77,0.9
3623,2,136,3,0,1,0,technical,low,0.41,0.52
3633,2,139,3,0,1,0,technical,low,0.41,0.48
3634,2,151,4,0,1,0,technical,low,0.36,0.78
3635,5,229,5,0,1,0,management,low,0.77,
3636,5,245,5,0,1,0,IT,low,0.81,0.98
3643,2,127,3,0,1,0,IT,low,0.39,0.54
3654,6,283,5,0,1,0,IT,low,0.09,0.94
3655,2,143,3,0,1,0,IT,low,0.44,0.46
3658,5,298,4,0,1,0,IT,low,0.1,0.84
3664,2,159,3,0,1,0,product_mng,low,0.36,0.48
3665,5,239,5,0,1,0,product_mng,low,0.81,0.92
3667,4,226,5,0,1,0,product_mng,medium,0.81,0.9
3669,5,248,5,0,1,0,product_mng,medium,0.85,0.98
3686,6,286,4,0,1,0,IT,medium,0.1,0.87
3694,2,145,3,0,1,0,RandD,medium,0.37,0.54
3697,7,254,4,1,1,0,RandD,medium,0.09,0.97
3699,2,127,3,0,1,0,RandD,medium,0.44,0.53
3700,5,223,5,0,1,0,RandD,medium,0.86,0.93
3706,4,255,5,0,1,0,RandD,medium,0.77,1.0
3707,2,136,3,0,1,0,marketing,medium,0.41,0.48
3719,2,137,3,0,1,0,sales,medium,0.4,0.48
3722,2,135,3,0,1,0,accounting,medium,0.43,0.49
81317,2,137,3,0,1,0,support,medium,0.43,0.5
82607,3,255,5,0,1,0,technical,high,0.8,0.53
3736,4,273,5,0,1,0,management,low,0.8,0.85
3743,5,234,5,0,1,0,marketing,medium,0.82,0.98
3745,2,152,3,0,1,0,marketing,medium,0.37,0.54
3747,2,134,3,0,1,0,marketing,medium,0.37,0.48
3754,6,292,4,0,1,0,sales,medium,0.09,0.95
3755,5,245,5,0,1,0,sales,low,,0.92
3771,2,159,3,0,1,0,sales,low,0.41,0.52
3788,6,260,4,0,1,0,sales,low,0.1,0.85
83066,2,149,3,0,1,0,sales,low,0.44,0.53
3799,5,266,5,0,1,0,sales,low,0.89,0.85
3807,2,149,3,0,1,0,sales,low,0.42,0.56
3813,5,242,5,0,1,0,sales,low,0.87,1.0
3826,2,134,3,0,1,0,sales,low,0.45,0.57
3832,5,271,4,0,1,0,sales,low,0.11,0.87
3857,6,275,4,0,1,0,sales,low,0.09,0.79
3860,5,227,5,0,1,0,sales,low,0.76,0.83
3868,7,277,5,0,1,0,sales,low,0.11,0.96
3874,2,151,3,0,1,0,sales,low,0.37,0.49
3876,6,274,4,0,1,0,sales,low,0.1,0.79
3877,4,242,6,0,1,0,sales,low,0.77,0.87
3879,2,143,3,1,1,0,sales,low,0.42,0.54
3888,2,145,3,0,1,0,sales,low,0.38,0.52
20539,5,172,2,0,1,0,sales,low,0.32,0.95
3897,2,135,3,0,1,0,accounting,low,0.38,0.49
83745,4,192,4,0,1,0,accounting,low,0.19,1.0
3914,7,276,4,0,1,0,accounting,low,0.1,0.83
3916,4,206,4,0,1,0,hr,medium,0.76,0.88
3918,4,281,6,0,1,0,hr,medium,0.53,0.56
